entry_id,audio,query,ground_truth,_split
42,YKSHpYhuTotY@2-104952-B-16@1-56311-A-10@4-192236-A-0.wav,Have you noticed the sound of dog in the audio?,yes,test
43,YKSHpYhuTotY@2-104952-B-16@1-56311-A-10.wav,Have you noticed the sound of dog in the audio?,no,test
44,YKSHpYhuTotY@2-104952-B-16@1-56311-A-10@4-192236-A-0.wav,Have you noticed the sound of wind in the audio?,yes,test
45,YKSHpYhuTotY@2-104952-B-16@1-56311-A-10.wav,Have you noticed the sound of wind in the audio?,yes,test
46,YKSHpYhuTotY@2-104952-B-16@1-56311-A-10@4-192236-A-0.wav,Have you noticed the sound of sea waves in the audio?,no,test
47,YKSHpYhuTotY@2-104952-B-16@1-56311-A-10.wav,Have you noticed the sound of sea waves in the audio?,no,test
48,YKSHpYhuTotY@4-192236-A-0@1-56311-A-10@2-104952-B-16.wav,Can you hear the sound of wind in the audio?,yes,test
49,YKSHpYhuTotY@4-192236-A-0@1-56311-A-10.wav,Can you hear the sound of wind in the audio?,no,test
50,YKSHpYhuTotY@4-192236-A-0@1-56311-A-10@2-104952-B-16.wav,Can you hear the sound of dog in the audio?,yes,test
51,YKSHpYhuTotY@4-192236-A-0@1-56311-A-10.wav,Can you hear the sound of dog in the audio?,yes,test
52,YKSHpYhuTotY@4-192236-A-0@1-56311-A-10@2-104952-B-16.wav,Can you hear the sound of crackling fire in the audio?,no,test
53,YKSHpYhuTotY@4-192236-A-0@1-56311-A-10.wav,Can you hear the sound of crackling fire in the audio?,no,test
54,YoOMtaqvQ3_M@3-51376-A-42@3-161010-A-43@3-123224-A-19.wav,Can you detect the sound of thunderstorm in the audio?,yes,test
55,YoOMtaqvQ3_M@3-51376-A-42@3-161010-A-43.wav,Can you detect the sound of thunderstorm in the audio?,no,test
56,YoOMtaqvQ3_M@3-51376-A-42@3-161010-A-43@3-123224-A-19.wav,Can you detect the sound of car horn in the audio?,yes,test
57,YoOMtaqvQ3_M@3-51376-A-42@3-161010-A-43.wav,Can you detect the sound of car horn in the audio?,yes,test
58,YoOMtaqvQ3_M@3-51376-A-42@3-161010-A-43@3-123224-A-19.wav,Can you detect the sound of sheep in the audio?,no,test
59,YoOMtaqvQ3_M@3-51376-A-42@3-161010-A-43.wav,Can you detect the sound of sheep in the audio?,no,test
60,YoOMtaqvQ3_M@3-51376-A-42@3-123224-A-19@3-161010-A-43.wav,Is there a sound of car horn in the audio?,yes,test
61,YoOMtaqvQ3_M@3-51376-A-42@3-123224-A-19.wav,Is there a sound of car horn in the audio?,no,test
62,YoOMtaqvQ3_M@3-51376-A-42@3-123224-A-19@3-161010-A-43.wav,Is there a sound of thunderstorm in the audio?,yes,test
63,YoOMtaqvQ3_M@3-51376-A-42@3-123224-A-19.wav,Is there a sound of thunderstorm in the audio?,yes,test
64,YoOMtaqvQ3_M@3-51376-A-42@3-123224-A-19@3-161010-A-43.wav,Is there a sound of rooster in the audio?,no,test
65,YoOMtaqvQ3_M@3-51376-A-42@3-123224-A-19.wav,Is there a sound of rooster in the audio?,no,test
66,YoOMtaqvQ3_M@3-161010-A-43@3-123224-A-19@3-51376-A-42.wav,Does the audio contain the sound of siren?,yes,test
67,YoOMtaqvQ3_M@3-161010-A-43@3-123224-A-19.wav,Does the audio contain the sound of siren?,no,test
68,YoOMtaqvQ3_M@3-161010-A-43@3-123224-A-19@3-51376-A-42.wav,Does the audio contain the sound of car horn?,yes,test
69,YoOMtaqvQ3_M@3-161010-A-43@3-123224-A-19.wav,Does the audio contain the sound of car horn?,yes,test
70,YoOMtaqvQ3_M@3-161010-A-43@3-123224-A-19@3-51376-A-42.wav,Does the audio contain the sound of crow?,no,test
71,YoOMtaqvQ3_M@3-161010-A-43@3-123224-A-19.wav,Does the audio contain the sound of crow?,no,test
72,YoOMtaqvQ3_M@5-171653-A-41@5-198321-A-10@4-165933-A-45.wav,Have you noticed the sound of train in the audio?,yes,test
73,YoOMtaqvQ3_M@5-171653-A-41@5-198321-A-10.wav,Have you noticed the sound of train in the audio?,no,test
74,YoOMtaqvQ3_M@5-171653-A-41@5-198321-A-10@4-165933-A-45.wav,Have you noticed the sound of rain in the audio?,yes,test
75,YoOMtaqvQ3_M@5-171653-A-41@5-198321-A-10.wav,Have you noticed the sound of rain in the audio?,yes,test
76,YoOMtaqvQ3_M@5-171653-A-41@5-198321-A-10@4-165933-A-45.wav,"Have you noticed the sound of drinking, sipping in the audio?",no,test
77,YoOMtaqvQ3_M@5-171653-A-41@5-198321-A-10.wav,"Have you noticed the sound of drinking, sipping in the audio?",no,test
78,YoOMtaqvQ3_M@5-171653-A-41@4-165933-A-45@5-198321-A-10.wav,Can you hear the sound of rain in the audio?,yes,test
79,YoOMtaqvQ3_M@5-171653-A-41@4-165933-A-45.wav,Can you hear the sound of rain in the audio?,no,test
80,YoOMtaqvQ3_M@5-171653-A-41@4-165933-A-45@5-198321-A-10.wav,Can you hear the sound of chainsaw in the audio?,yes,test
81,YoOMtaqvQ3_M@5-171653-A-41@4-165933-A-45.wav,Can you hear the sound of chainsaw in the audio?,yes,test
82,YoOMtaqvQ3_M@5-171653-A-41@4-165933-A-45@5-198321-A-10.wav,Can you hear the sound of pouring water in the audio?,no,test
83,YoOMtaqvQ3_M@5-171653-A-41@4-165933-A-45.wav,Can you hear the sound of pouring water in the audio?,no,test
84,YoOMtaqvQ3_M@5-198321-A-10@4-165933-A-45@5-171653-A-41.wav,Can you detect the sound of chainsaw in the audio?,yes,test
85,YoOMtaqvQ3_M@5-198321-A-10@4-165933-A-45.wav,Can you detect the sound of chainsaw in the audio?,no,test
86,YoOMtaqvQ3_M@5-198321-A-10@4-165933-A-45@5-171653-A-41.wav,Can you detect the sound of train in the audio?,yes,test
87,YoOMtaqvQ3_M@5-198321-A-10@4-165933-A-45.wav,Can you detect the sound of train in the audio?,yes,test
88,YoOMtaqvQ3_M@5-198321-A-10@4-165933-A-45@5-171653-A-41.wav,Can you detect the sound of brushing teeth in the audio?,no,test
89,YoOMtaqvQ3_M@5-198321-A-10@4-165933-A-45.wav,Can you detect the sound of brushing teeth in the audio?,no,test
90,YoOMtaqvQ3_M@5-195557-A-19@2-72970-A-10@4-161099-A-47.wav,Is there a sound of airplane in the audio?,yes,test
91,YoOMtaqvQ3_M@5-195557-A-19@2-72970-A-10.wav,Is there a sound of airplane in the audio?,no,test
92,YoOMtaqvQ3_M@5-195557-A-19@2-72970-A-10@4-161099-A-47.wav,Is there a sound of thunderstorm in the audio?,yes,test
93,YoOMtaqvQ3_M@5-195557-A-19@2-72970-A-10.wav,Is there a sound of thunderstorm in the audio?,yes,test
94,YoOMtaqvQ3_M@5-195557-A-19@2-72970-A-10@4-161099-A-47.wav,Is there a sound of crow in the audio?,no,test
95,YoOMtaqvQ3_M@5-195557-A-19@2-72970-A-10.wav,Is there a sound of crow in the audio?,no,test
96,YoOMtaqvQ3_M@5-195557-A-19@4-161099-A-47@2-72970-A-10.wav,Does the audio contain the sound of rain?,yes,test
97,YoOMtaqvQ3_M@5-195557-A-19@4-161099-A-47.wav,Does the audio contain the sound of rain?,no,test
98,YoOMtaqvQ3_M@5-195557-A-19@4-161099-A-47@2-72970-A-10.wav,Does the audio contain the sound of airplane?,yes,test
99,YoOMtaqvQ3_M@5-195557-A-19@4-161099-A-47.wav,Does the audio contain the sound of airplane?,yes,test
100,YoOMtaqvQ3_M@5-195557-A-19@4-161099-A-47@2-72970-A-10.wav,Does the audio contain the sound of hen?,no,test
101,YoOMtaqvQ3_M@5-195557-A-19@4-161099-A-47.wav,Does the audio contain the sound of hen?,no,test
102,YoOMtaqvQ3_M@2-72970-A-10@4-161099-A-47@5-195557-A-19.wav,Have you noticed the sound of thunderstorm in the audio?,yes,test
103,YoOMtaqvQ3_M@2-72970-A-10@4-161099-A-47.wav,Have you noticed the sound of thunderstorm in the audio?,no,test
104,YoOMtaqvQ3_M@2-72970-A-10@4-161099-A-47@5-195557-A-19.wav,Have you noticed the sound of airplane in the audio?,yes,test
105,YoOMtaqvQ3_M@2-72970-A-10@4-161099-A-47.wav,Have you noticed the sound of airplane in the audio?,yes,test
106,YoOMtaqvQ3_M@2-72970-A-10@4-161099-A-47@5-195557-A-19.wav,Have you noticed the sound of cat in the audio?,no,test
107,YoOMtaqvQ3_M@2-72970-A-10@4-161099-A-47.wav,Have you noticed the sound of cat in the audio?,no,test
108,YUhCzD6EBJBU@2-107228-B-44@4-191015-A-43@1-75189-A-7.wav,Can you hear the sound of insects in the audio?,yes,test
109,YUhCzD6EBJBU@2-107228-B-44@4-191015-A-43.wav,Can you hear the sound of insects in the audio?,no,test
110,YUhCzD6EBJBU@2-107228-B-44@4-191015-A-43@1-75189-A-7.wav,Can you hear the sound of engine in the audio?,yes,test
111,YUhCzD6EBJBU@2-107228-B-44@4-191015-A-43.wav,Can you hear the sound of engine in the audio?,yes,test
112,YUhCzD6EBJBU@2-107228-B-44@4-191015-A-43@1-75189-A-7.wav,Can you hear the sound of toilet flush in the audio?,no,test
113,YUhCzD6EBJBU@2-107228-B-44@4-191015-A-43.wav,Can you hear the sound of toilet flush in the audio?,no,test
114,YUhCzD6EBJBU@2-107228-B-44@1-75189-A-7@4-191015-A-43.wav,Can you detect the sound of car horn in the audio?,yes,test
115,YUhCzD6EBJBU@2-107228-B-44@1-75189-A-7.wav,Can you detect the sound of car horn in the audio?,no,test
116,YUhCzD6EBJBU@2-107228-B-44@1-75189-A-7@4-191015-A-43.wav,Can you detect the sound of insects in the audio?,yes,test
117,YUhCzD6EBJBU@2-107228-B-44@1-75189-A-7.wav,Can you detect the sound of insects in the audio?,yes,test
118,YUhCzD6EBJBU@2-107228-B-44@1-75189-A-7@4-191015-A-43.wav,Can you detect the sound of airplane in the audio?,no,test
119,YUhCzD6EBJBU@2-107228-B-44@1-75189-A-7.wav,Can you detect the sound of airplane in the audio?,no,test
120,YUhCzD6EBJBU@4-191015-A-43@1-75189-A-7@2-107228-B-44.wav,Is there a sound of engine in the audio?,yes,test
121,YUhCzD6EBJBU@4-191015-A-43@1-75189-A-7.wav,Is there a sound of engine in the audio?,no,test
122,YUhCzD6EBJBU@4-191015-A-43@1-75189-A-7@2-107228-B-44.wav,Is there a sound of car horn in the audio?,yes,test
123,YUhCzD6EBJBU@4-191015-A-43@1-75189-A-7.wav,Is there a sound of car horn in the audio?,yes,test
124,YUhCzD6EBJBU@4-191015-A-43@1-75189-A-7@2-107228-B-44.wav,Is there a sound of church bells in the audio?,no,test
125,YUhCzD6EBJBU@4-191015-A-43@1-75189-A-7.wav,Is there a sound of church bells in the audio?,no,test
126,YUhCzD6EBJBU@5-179860-A-43@5-170338-B-41@4-163609-B-16.wav,Does the audio contain the sound of wind?,yes,test
127,YUhCzD6EBJBU@5-179860-A-43@5-170338-B-41.wav,Does the audio contain the sound of wind?,no,test
128,YUhCzD6EBJBU@5-179860-A-43@5-170338-B-41@4-163609-B-16.wav,Does the audio contain the sound of car horn?,yes,test
129,YUhCzD6EBJBU@5-179860-A-43@5-170338-B-41.wav,Does the audio contain the sound of car horn?,yes,test
130,YUhCzD6EBJBU@5-179860-A-43@5-170338-B-41@4-163609-B-16.wav,Does the audio contain the sound of clapping?,no,test
131,YUhCzD6EBJBU@5-179860-A-43@5-170338-B-41.wav,Does the audio contain the sound of clapping?,no,test
132,YUhCzD6EBJBU@5-179860-A-43@4-163609-B-16@5-170338-B-41.wav,Have you noticed the sound of chainsaw in the audio?,yes,test
133,YUhCzD6EBJBU@5-179860-A-43@4-163609-B-16.wav,Have you noticed the sound of chainsaw in the audio?,no,test
134,YUhCzD6EBJBU@5-179860-A-43@4-163609-B-16@5-170338-B-41.wav,Have you noticed the sound of car horn in the audio?,yes,test
135,YUhCzD6EBJBU@5-179860-A-43@4-163609-B-16.wav,Have you noticed the sound of car horn in the audio?,yes,test
136,YUhCzD6EBJBU@5-179860-A-43@4-163609-B-16@5-170338-B-41.wav,Have you noticed the sound of cough in the audio?,no,test
137,YUhCzD6EBJBU@5-179860-A-43@4-163609-B-16.wav,Have you noticed the sound of cough in the audio?,no,test
138,YUhCzD6EBJBU@5-170338-B-41@4-163609-B-16@5-179860-A-43.wav,Can you hear the sound of car horn in the audio?,yes,test
139,YUhCzD6EBJBU@5-170338-B-41@4-163609-B-16.wav,Can you hear the sound of car horn in the audio?,no,test
140,YUhCzD6EBJBU@5-170338-B-41@4-163609-B-16@5-179860-A-43.wav,Can you hear the sound of wind in the audio?,yes,test
141,YUhCzD6EBJBU@5-170338-B-41@4-163609-B-16.wav,Can you hear the sound of wind in the audio?,yes,test
142,YUhCzD6EBJBU@5-170338-B-41@4-163609-B-16@5-179860-A-43.wav,Can you hear the sound of church bells in the audio?,no,test
143,YUhCzD6EBJBU@5-170338-B-41@4-163609-B-16.wav,Can you hear the sound of church bells in the audio?,no,test
144,YUhCzD6EBJBU@5-171653-A-41@3-163607-B-13@4-168446-A-45.wav,Can you detect the sound of train in the audio?,yes,test
145,YUhCzD6EBJBU@5-171653-A-41@3-163607-B-13.wav,Can you detect the sound of train in the audio?,no,test
146,YUhCzD6EBJBU@5-171653-A-41@3-163607-B-13@4-168446-A-45.wav,Can you detect the sound of crickets in the audio?,yes,test
147,YUhCzD6EBJBU@5-171653-A-41@3-163607-B-13.wav,Can you detect the sound of crickets in the audio?,yes,test
148,YUhCzD6EBJBU@5-171653-A-41@3-163607-B-13@4-168446-A-45.wav,Can you detect the sound of clapping in the audio?,no,test
149,YUhCzD6EBJBU@5-171653-A-41@3-163607-B-13.wav,Can you detect the sound of clapping in the audio?,no,test
150,YUhCzD6EBJBU@5-171653-A-41@4-168446-A-45@3-163607-B-13.wav,Is there a sound of crickets in the audio?,yes,test
151,YUhCzD6EBJBU@5-171653-A-41@4-168446-A-45.wav,Is there a sound of crickets in the audio?,no,test
152,YUhCzD6EBJBU@5-171653-A-41@4-168446-A-45@3-163607-B-13.wav,Is there a sound of train in the audio?,yes,test
153,YUhCzD6EBJBU@5-171653-A-41@4-168446-A-45.wav,Is there a sound of train in the audio?,yes,test
154,YUhCzD6EBJBU@5-171653-A-41@4-168446-A-45@3-163607-B-13.wav,Is there a sound of engine in the audio?,no,test
155,YUhCzD6EBJBU@5-171653-A-41@4-168446-A-45.wav,Is there a sound of engine in the audio?,no,test
156,YUhCzD6EBJBU@3-163607-B-13@4-168446-A-45@5-171653-A-41.wav,Does the audio contain the sound of chainsaw?,yes,test
157,YUhCzD6EBJBU@3-163607-B-13@4-168446-A-45.wav,Does the audio contain the sound of chainsaw?,no,test
158,YUhCzD6EBJBU@3-163607-B-13@4-168446-A-45@5-171653-A-41.wav,Does the audio contain the sound of crickets?,yes,test
159,YUhCzD6EBJBU@3-163607-B-13@4-168446-A-45.wav,Does the audio contain the sound of crickets?,yes,test
160,YUhCzD6EBJBU@3-163607-B-13@4-168446-A-45@5-171653-A-41.wav,Does the audio contain the sound of snoring?,no,test
161,YUhCzD6EBJBU@3-163607-B-13@4-168446-A-45.wav,Does the audio contain the sound of snoring?,no,test
162,Y6ZwYgzcN6Is@3-155579-A-14@2-80844-A-13@2-73260-A-10.wav,Have you noticed the sound of rain in the audio?,yes,test
163,Y6ZwYgzcN6Is@3-155579-A-14@2-80844-A-13.wav,Have you noticed the sound of rain in the audio?,no,test
164,Y6ZwYgzcN6Is@3-155579-A-14@2-80844-A-13@2-73260-A-10.wav,Have you noticed the sound of crickets in the audio?,yes,test
165,Y6ZwYgzcN6Is@3-155579-A-14@2-80844-A-13.wav,Have you noticed the sound of crickets in the audio?,yes,test
166,Y6ZwYgzcN6Is@3-155579-A-14@2-80844-A-13@2-73260-A-10.wav,Have you noticed the sound of hen in the audio?,no,test
167,Y6ZwYgzcN6Is@3-155579-A-14@2-80844-A-13.wav,Have you noticed the sound of hen in the audio?,no,test
168,Y6ZwYgzcN6Is@3-155579-A-14@2-73260-A-10@2-80844-A-13.wav,Can you hear the sound of crickets in the audio?,yes,test
169,Y6ZwYgzcN6Is@3-155579-A-14@2-73260-A-10.wav,Can you hear the sound of crickets in the audio?,no,test
170,Y6ZwYgzcN6Is@3-155579-A-14@2-73260-A-10@2-80844-A-13.wav,Can you hear the sound of rain in the audio?,yes,test
171,Y6ZwYgzcN6Is@3-155579-A-14@2-73260-A-10.wav,Can you hear the sound of rain in the audio?,yes,test
172,Y6ZwYgzcN6Is@3-155579-A-14@2-73260-A-10@2-80844-A-13.wav,Can you hear the sound of cow in the audio?,no,test
173,Y6ZwYgzcN6Is@3-155579-A-14@2-73260-A-10.wav,Can you hear the sound of cow in the audio?,no,test
174,Y6ZwYgzcN6Is@2-80844-A-13@2-73260-A-10@3-155579-A-14.wav,Can you detect the sound of chirping birds in the audio?,yes,test
175,Y6ZwYgzcN6Is@2-80844-A-13@2-73260-A-10.wav,Can you detect the sound of chirping birds in the audio?,no,test
176,Y6ZwYgzcN6Is@2-80844-A-13@2-73260-A-10@3-155579-A-14.wav,Can you detect the sound of rain in the audio?,yes,test
177,Y6ZwYgzcN6Is@2-80844-A-13@2-73260-A-10.wav,Can you detect the sound of rain in the audio?,yes,test
178,Y6ZwYgzcN6Is@2-80844-A-13@2-73260-A-10@3-155579-A-14.wav,Can you detect the sound of train in the audio?,no,test
179,Y6ZwYgzcN6Is@2-80844-A-13@2-73260-A-10.wav,Can you detect the sound of train in the audio?,no,test
180,Y6ZwYgzcN6Is@2-73260-A-10@3-155579-A-14@m3284_0_laughter.wav,Is there a sound of laughter in the audio?,yes,test
181,Y6ZwYgzcN6Is@2-73260-A-10@3-155579-A-14.wav,Is there a sound of laughter in the audio?,no,test
182,Y6ZwYgzcN6Is@2-73260-A-10@3-155579-A-14@m3284_0_laughter.wav,Is there a sound of chirping birds in the audio?,yes,test
183,Y6ZwYgzcN6Is@2-73260-A-10@3-155579-A-14.wav,Is there a sound of chirping birds in the audio?,yes,test
184,Y6ZwYgzcN6Is@2-73260-A-10@3-155579-A-14@m3284_0_laughter.wav,Is there a sound of rooster in the audio?,no,test
185,Y6ZwYgzcN6Is@2-73260-A-10@3-155579-A-14.wav,Is there a sound of rooster in the audio?,no,test
186,Y6ZwYgzcN6Is@2-73260-A-10@m3284_0_laughter@3-155579-A-14.wav,Does the audio contain the sound of chirping birds?,yes,test
187,Y6ZwYgzcN6Is@2-73260-A-10@m3284_0_laughter.wav,Does the audio contain the sound of chirping birds?,no,test
188,Y6ZwYgzcN6Is@2-73260-A-10@m3284_0_laughter@3-155579-A-14.wav,Does the audio contain the sound of laughter?,yes,test
189,Y6ZwYgzcN6Is@2-73260-A-10@m3284_0_laughter.wav,Does the audio contain the sound of laughter?,yes,test
190,Y6ZwYgzcN6Is@2-73260-A-10@m3284_0_laughter@3-155579-A-14.wav,Does the audio contain the sound of water drops?,no,test
191,Y6ZwYgzcN6Is@2-73260-A-10@m3284_0_laughter.wav,Does the audio contain the sound of water drops?,no,test
192,Y6ZwYgzcN6Is@3-155579-A-14@m3284_0_laughter@2-73260-A-10.wav,Have you noticed the sound of rain in the audio?,yes,test
193,Y6ZwYgzcN6Is@3-155579-A-14@m3284_0_laughter.wav,Have you noticed the sound of rain in the audio?,no,test
194,Y6ZwYgzcN6Is@3-155579-A-14@m3284_0_laughter@2-73260-A-10.wav,Have you noticed the sound of chirping birds in the audio?,yes,test
195,Y6ZwYgzcN6Is@3-155579-A-14@m3284_0_laughter.wav,Have you noticed the sound of chirping birds in the audio?,yes,test
196,Y6ZwYgzcN6Is@3-155579-A-14@m3284_0_laughter@2-73260-A-10.wav,Have you noticed the sound of can opening in the audio?,no,test
197,Y6ZwYgzcN6Is@3-155579-A-14@m3284_0_laughter.wav,Have you noticed the sound of can opening in the audio?,no,test
198,Y6ZwYgzcN6Is@1-80785-A-7@3-164120-A-11@2-96033-A-13.wav,Can you hear the sound of crickets in the audio?,yes,test
199,Y6ZwYgzcN6Is@1-80785-A-7@3-164120-A-11.wav,Can you hear the sound of crickets in the audio?,no,test
200,Y6ZwYgzcN6Is@1-80785-A-7@3-164120-A-11@2-96033-A-13.wav,Can you hear the sound of insects in the audio?,yes,test
201,Y6ZwYgzcN6Is@1-80785-A-7@3-164120-A-11.wav,Can you hear the sound of insects in the audio?,yes,test
202,Y6ZwYgzcN6Is@1-80785-A-7@3-164120-A-11@2-96033-A-13.wav,Can you hear the sound of water drops in the audio?,no,test
203,Y6ZwYgzcN6Is@1-80785-A-7@3-164120-A-11.wav,Can you hear the sound of water drops in the audio?,no,test
204,Y6ZwYgzcN6Is@1-80785-A-7@2-96033-A-13@3-164120-A-11.wav,Can you detect the sound of sea waves in the audio?,yes,test
205,Y6ZwYgzcN6Is@1-80785-A-7@2-96033-A-13.wav,Can you detect the sound of sea waves in the audio?,no,test
206,Y6ZwYgzcN6Is@1-80785-A-7@2-96033-A-13@3-164120-A-11.wav,Can you detect the sound of insects in the audio?,yes,test
207,Y6ZwYgzcN6Is@1-80785-A-7@2-96033-A-13.wav,Can you detect the sound of insects in the audio?,yes,test
208,Y6ZwYgzcN6Is@1-80785-A-7@2-96033-A-13@3-164120-A-11.wav,Can you detect the sound of clock tick in the audio?,no,test
209,Y6ZwYgzcN6Is@1-80785-A-7@2-96033-A-13.wav,Can you detect the sound of clock tick in the audio?,no,test
210,Y6ZwYgzcN6Is@3-164120-A-11@2-96033-A-13@1-80785-A-7.wav,Is there a sound of insects in the audio?,yes,test
211,Y6ZwYgzcN6Is@3-164120-A-11@2-96033-A-13.wav,Is there a sound of insects in the audio?,no,test
212,Y6ZwYgzcN6Is@3-164120-A-11@2-96033-A-13@1-80785-A-7.wav,Is there a sound of sea waves in the audio?,yes,test
213,Y6ZwYgzcN6Is@3-164120-A-11@2-96033-A-13.wav,Is there a sound of sea waves in the audio?,yes,test
214,Y6ZwYgzcN6Is@3-164120-A-11@2-96033-A-13@1-80785-A-7.wav,Is there a sound of glass breaking in the audio?,no,test
215,Y6ZwYgzcN6Is@3-164120-A-11@2-96033-A-13.wav,Is there a sound of glass breaking in the audio?,no,test
216,Y7upINC4seBw@3-104761-A-7@5-243449-A-14@1-61252-A-11.wav,Does the audio contain the sound of sea waves?,yes,test
217,Y7upINC4seBw@3-104761-A-7@5-243449-A-14.wav,Does the audio contain the sound of sea waves?,no,test
218,Y7upINC4seBw@3-104761-A-7@5-243449-A-14@1-61252-A-11.wav,Does the audio contain the sound of chirping birds?,yes,test
219,Y7upINC4seBw@3-104761-A-7@5-243449-A-14.wav,Does the audio contain the sound of chirping birds?,yes,test
220,Y7upINC4seBw@3-104761-A-7@5-243449-A-14@1-61252-A-11.wav,Does the audio contain the sound of chainsaw?,no,test
