pair_caption,pair_file,reversed_pair_caption,reversed_pair_file,pair_file.1,reversed_pair_file.1
City ambiance with multiple cars driving by and a large vehicle engine revving then accelerating,HUwXtfYRFwk.wav,City ambiance with multiple cars revving by and a large vehicle engine driving then accelerating,res_41-id.wav,22.wav,22_rev.wav
A girl burping then laughing followed by a group of girls laughing and talking,9ucb5HYO8ps.wav,A girl laughing then burping followed by a group of girls talking and burping,res_44-id.wav,24.wav,24_rev.wav
A girl burping then laughing followed by a group of girls laughing and talking,9ucb5HYO8ps.wav,A girl talking then laughing followed by a group of girls burping and laughing,res_45-id.wav,24.wav,25_rev.wav
Emergency sirens and muffled speech,m8wV38lf2jg.wav,Emergency speech and muffled sirens,res_50-id.wav,28.wav,28_rev.wav
Water gurgling followed by a toilet flushing then a footstep shuffling on a hard surface,Zsf2YvJfCKw.wav,Water flushing followed by a toilet gurgling then a footstep shuffling on a hard surface,res_56-id.wav,32.wav,32_rev.wav
A loud burst followed by rustling and then spraying,Af4a-9rcnP0.wav,A loud rustling followed by burst and then spraying,res_57-id.wav,33.wav,33_rev.wav
A man speaking and a child yelling with wind blowing,Ch0LMmhBUg4.wav,A man yelling and a child speaking with wind blowing,res_64-id.wav,34.wav,34_rev.wav
People are laughing followed by a kid speaking,MdlEswBfZMQ.wav,People are speaking followed by a kid laughing,res_67-id.wav,16.wav,36_rev.wav
A kid laughing and screaming with a man chuckling and woman whispering,83j4GgHXTLE.wav,A kid chuckling and screaming with a man laughing and woman whispering,res_71-id.wav,40.wav,40_rev.wav
"Rapid filing and scraping of wood occurs, followed by brushing and a thump",OMGHnJV0l2U.wav,"Rapid brushing and scraping of wood occurs, followed by filing and a thump",res_77-id.wav,42.wav,42_rev.wav
Loud hissing followed by a loud continuous horn and brief clanking,KVbmN9ZRg5Q.wav,Loud horn followed by a loud continuous hissing and brief clanking,res_85-id.wav,46.wav,46_rev.wav
A young boy crying as a woman is talking,fx4r_KuW6No.wav,A young boy talking as a woman is crying,res_91-id.wav,10.wav,50_rev.wav
"A repeated whistling sound and a small child babbling, followed by a man talking",MVGhC-xB79s.wav,"A repeated babbling sound and a small child whistling, followed by a man talking",res_98-id.wav,53.wav,53_rev.wav
A man talking followed by footsteps shuffling then a loud popping explosion proceeded by a man laughing as music plays in the background,SZ6CcXINiiE.wav,A man laughing followed by footsteps shuffling then a loud popping explosion proceeded by a man talking as music plays in the background,res_99-id.wav,54.wav,54_rev.wav
A burping noise followed by laughter and a woman speaking,PMMdAKZxI_I.wav,A laughter noise followed by burping and a woman speaking,res_108-id.wav,60.wav,60_rev.wav
A cat meowing followed by a person screaming as a man talks in the background and wind blows into a microphone,ITlqMkR5alY.wav,A cat screaming followed by a person meowing as a man talks in the background and wind blows into a microphone,res_112-id.wav,64.wav,64_rev.wav
A crowd of people talking then applauding as a man speaks over an intercom,A61Mry8zBwE.wav,A man talking then applauding over an intercom as a crowd of people speaks,res_114-id.wav,65.wav,66_rev.wav
A man and woman speak and people clap and a bell rings,fwhkCnOeyC0.wav,A man and woman clap and people speak and a bell rings,res_117-id.wav,68.wav,68_rev.wav
A woman speaks and a crowd applauds,32565FEuksc.wav,A woman applauds and a crowd speaks,res_126-id.wav,70.wav,71_rev.wav
"An adult male speaks, and a crowd laughs and then cheers and applauds",K2kIOBeCfuo.wav,"An adult male laughs, and a crowd speaks and then cheers and applauds",res_127-id.wav,72.wav,72_rev.wav
A baby crying over a radio as a man is talking,BMayJId0X1s.wav,A baby talking over a radio as a man is crying,res_129-id.wav,73.wav,73_rev.wav
"A woman speaks quietly, and man answers much louder, then she speaks again",js4dr5JusdM.wav,"A woman answers quietly, and man speaks much louder, then she answers again",res_132-id.wav,76.wav,76_rev.wav
"Glass placed on table, a container with liquid is shaken and then poured into the glass",gW7s3YAthpI.wav,"Glass shaken on table, a container with liquid is placed and then poured into the glass",res_133-id.wav,77.wav,77_rev.wav
"Repeated ripping occurs, then sharp tapping in the background",7RMpCCkQks0.wav,"Repeated tapping occurs, then sharp ripping in the background",res_134-id.wav,78.wav,78_rev.wav
A drone whirring followed by a crashing sound,EzWEO2WD_MM.wav,A drone crashing followed by a whirring sound,res_137-id.wav,79.wav,79_rev.wav
Soft whistling with wind blowing,tbLjCaI0-Lo.wav,Soft blowing with wind whistling,res_146-id.wav,82.wav,82_rev.wav
A woman speaks and a child whines,yBksF4L5Ics.wav,A woman whines and a child speaks,res_147-id.wav,83.wav,83_rev.wav
A dog whimpers and a person inhales/exhales quickly,vmrxwuAMb2I.wav,A dog inhales/exhales and a person whimpers quickly,res_154-id.wav,85.wav,85_rev.wav
A man commentates as race cars pass by and an announcer speaks,uZesmtKZGSw.wav,A man speaks as race cars pass by and an announcer commentates,res_155-id.wav,86.wav,86_rev.wav
A cuckoo clock chimes and whistles then stops and keeps on ticking,uWCKXYVzJt0.wav,A cuckoo clock stops and whistles then chimes and keeps on ticking,res_157-id.wav,88.wav,88_rev.wav
A man speaks then a woman panics,s3cT_DAj31g.wav,A man panics then a woman speaks,res_160-id.wav,90.wav,90_rev.wav
A man voice sings and jokes while someone sighs and he coughs softly,KWa5lKQAeCk.wav,A man voice sighs and jokes while someone sings and he coughs softly,res_164-id.wav,93.wav,93_rev.wav
Typewriter typing followed by electronic beeping,d5wk9yDtajs.wav,Typewriter beeping followed by electronic typing,res_166-id.wav,94.wav,94_rev.wav
A baby cries while someone on TV screams,uXWaC53QTuk.wav,A baby screams while someone on TV cries,res_167-id.wav,95.wav,95_rev.wav
A dog yipping together with laughter and some rustling,goYx8vRq3zw.wav,A dog rustling together with laughter and some yipping,res_173-id.wav,98.wav,98_rev.wav
A jackhammer pounding a stone surface followed by a muffled motor drilling during audio static,uSbFTHlNRt4.wav,A jackhammer drilling a stone surface followed by a muffled motor pounding during audio static,res_176-id.wav,99.wav,99_rev.wav
Kitten meows and then male makes funny noise in response,-TYGdSo47xo.wav,Kitten makes funny noise and then male meows in response,res_177-id.wav,100.wav,100_rev.wav
A bag is crumpled and emptied in a container,ePpbuYUHcZk.wav,A container is crumpled and emptied in a bag,res_179-id.wav,102.wav,102_rev.wav
A man speaking over a megaphone with a crowd cheering and clapping,BlzbW5f0DbE.wav,A man cheering over a megaphone with a crowd speaking and clapping,res_181-id.wav,103.wav,103_rev.wav
A music box plays a tune and a clock ticks,433QMNkMM28.wav,A music box ticks a tune and a clock plays,res_182-id.wav,104.wav,104_rev.wav
Audio feedback followed by a man shouting then an infant laughing and a man talking,JP87CP8cTdc.wav,Audio feedback followed by a man laughing then an infant shouting and a man talking,res_183-id.wav,105.wav,105_rev.wav
"A woman speaks indoors, someone coughs in the distance",02dcMDpdESk.wav,"A woman coughs indoors, someone speaks in the distance",res_186-id.wav,107.wav,107_rev.wav
Sea and wind sounds and some human vocals,1BGQamdgxXA.wav,Sea and wind vocals and some human sounds,res_190-id.wav,108.wav,108_rev.wav
A power tool drilling and a series of hammering on wood,ygB_raqSvWQ.wav,A power tool hammering and a series of drilling on wood,res_196-id.wav,111.wav,111_rev.wav
Baby laughing a woman speaking a woman fake sneezing so baby laughs,racyR4r19XQ.wav,Baby speaking a woman laughing a woman fake sneezing so baby laughs,res_200-id.wav,114.wav,114_rev.wav
A man burping several times followed by a group of people chuckling,zss6LzkHjHE.wav,A man chuckling several times followed by a group of people burping,res_212-id.wav,118.wav,118_rev.wav
"A television playing, people talking and a dog bark",SiPklP2X630.wav,"A television talking, people playing and a dog bark",res_220-id.wav,123.wav,123_rev.wav
Two young boys talking followed by a person whistling,ArhvoTPEhFo.wav,Two young boys whistling followed by a person talking,res_225-id.wav,125.wav,125_rev.wav
Car skidding in the distance with metal on metal crashing noises' then a sudden high speed engine rev with car noise approaching/passing by,0fbirFH795o.wav,Car crashing in the distance with metal on metal skidding noises' then a sudden high speed engine rev with car noise approaching/passing by,res_229-id.wav,128.wav,128_rev.wav
"An aircraft engine is running, and metallic whirring and rhythmic vibration are present",d8arX75O0Ws.wav,"An aircraft engine is whirring, and metallic running and rhythmic vibration are present",res_230-id.wav,129.wav,129_rev.wav
Loud snoring is followed by male laughter,uIk-yrWhbaY.wav,Loud laughter is followed by male snoring,res_233-id.wav,130.wav,130_rev.wav
After a loud horn the gates ding and go down as a train is coming down the track,A3pdasmVoSw.wav,After a loud horn the gates go down and ding as a train is coming down the track,res_234-id.wav,131.wav,131_rev.wav
"Some one laughing followed by an angry man swearing, a big pop and a distraught laugh",4DT3Ez6M-IM.wav,"Some one swearing followed by an angry man laughing, a big pop and a distraught laugh",res_239-id.wav,135.wav,135_rev.wav
Some people milling and talking in the background while a water feature bubbles away and some machinery is started,0DOHwmVePaU.wav,Some people started and talking in the background while a water feature bubbles away and some machinery is milling,res_242-id.wav,137.wav,137_rev.wav
Engine idling and then dying out,95E1T8ijJoo.wav,Engine dying and then idling out,res_249-id.wav,143.wav,143_rev.wav
"Police sirens and very low-level dialogue, then a speech",9Nswrws0vvo.wav,"Police dialogue and very low-level sirens, then a speech",res_253-id.wav,145.wav,145_rev.wav
Dry scratching accompanied by a man speaking,0mc6IZmP0D0.wav,Dry speaking accompanied by a man scratching,res_256-id.wav,147.wav,147_rev.wav
An insect buzzes and then a vacuum runs.,yR_xCN6cv-s.wav,An insect runs and then a vacuum buzzes.,res_257-id.wav,148.wav,148_rev.wav
A man laughs and makes cartoon utterances as a baby cries,7KPC6KWEgRI.wav,A man cries and makes cartoon utterances as a baby laughs,res_258-id.wav,149.wav,149_rev.wav
A machine spins and someone chisels wood,EnOgM8zdVfg.wav,A machine chisels and someone spins wood,res_260-id.wav,151.wav,151_rev.wav
A baby laughs while a woman make sounds,_JzZmofcjC4.wav,A woman laughs while a baby make sounds,res_261-id.wav,152.wav,152_rev.wav
"Continuous, high pitched buzzing with some revving",Iv2BdObYcZU.wav,"Continuous, high pitched revving with some buzzing",res_264-id.wav,154.wav,154_rev.wav
A series of bells ringing followed by several cowbells clanking,UPfgjDKKbjM.wav,A series of bells clanking followed by several cowbells ringing,res_269-id.wav,158.wav,158_rev.wav
"Something is frying loudly, followed by a lady speaking then a ding and the lady keeps talking",DiMxAR1Nu9M.wav,"Something is speaking loudly, followed by a lady frying then a ding and the lady keeps talking",res_275-id.wav,161.wav,161_rev.wav
"A baby fusses and fidgets, a woman speaks, and a man repeatedly imitates cartoon noise",zirMyE9UKjw.wav,"A baby speaks and fidgets, a woman fusses, and a man repeatedly imitates cartoon noise",res_277-id.wav,163.wav,163_rev.wav
Child speaking and female mimicking noise,-6nd_E5ade8.wav,Child mimicking and female speaking noise,res_280-id.wav,165.wav,165_rev.wav
A young woman talking followed by a person whistling then a group of women laughing before rap music plays and a young woman talks,rjyN1d-Fxpk.wav,A young woman laughing followed by a person whistling then a group of women talking before rap music plays and a young woman talks,res_285-id.wav,168.wav,168_rev.wav
"A woman makes a speech over a microphone in a stadium, people clap and cheer after she speaks",1ESwhuQf1s4.wav,"A woman makes a clap over a microphone in a stadium, people speech and cheer after she speaks",res_286-id.wav,169.wav,169_rev.wav
Heavy breathing and a horse whinnying several times,4kT-lzQNJF4.wav,Heavy whinnying and a horse breathing several times,res_288-id.wav,170.wav,170_rev.wav
Echoed brushing and scrubbing followed by a man screaming,jqKPJ9JeClI.wav,Echoed screaming and scrubbing followed by a man brushing,res_289-id.wav,171.wav,171_rev.wav
A man speaking calmly and directly into microphone in non-english language with faint voice in the background,-hffzymnxoE.wav,A voice speaking calmly and directly into microphone in non-english language with faint man in the background,res_291-id.wav,173.wav,173_rev.wav
Tired screeching followed by male speech and hollering,K3wQ3MgglcA.wav,Tired speech followed by male screeching and hollering,res_295-id.wav,177.wav,177_rev.wav
Police siren blares amid general town noise,6NtflY59nK0.wav,Police noise blares amid general town siren,res_298-id.wav,179.wav,179_rev.wav
Deep males voice followed by snoring and inconsistent breathing,0y_8qBo3aHE.wav,Deep males snoring followed by voice and inconsistent breathing,res_299-id.wav,180.wav,180_rev.wav
A loud blunt hammering hums along like a big machine and some wind noise,MsqpIpQlkpA.wav,A loud blunt machine hums along like a big hammering and some wind noise,res_300-id.wav,181.wav,181_rev.wav
A dog whimpering followed by a man kissing then speaking before whistling with a dog howling afterwards,gKKd247Ftk4.wav,A dog kissing followed by a man whimpering then whistling before speaking with a dog howling afterwards,res_304-id.wav,184.wav,184_rev.wav
Motorboat travels in ocean with wind noise and people talking in the background,RVTMHAFqcTQ.wav,Motorboat noise in ocean with wind travels and people talking in the background,res_306-id.wav,186.wav,186_rev.wav
Audio static followed by a telephone ringing then a robotic voiced woman speaking,x4VuCCSPEOw.wav,Audio ringing followed by a telephone static then a robotic voiced woman speaking,res_310-id.wav,188.wav,188_rev.wav
A long beep sounds then an engine starts and another beep happens,DBweH7LYhiE.wav,A long beep starts then an engine sounds and another beep happens,res_313-id.wav,191.wav,191_rev.wav
Dog growling followed by a series of dog barking,zIwj4kyPpzA.wav,Dog barking followed by a series of dog growling,res_314-id.wav,192.wav,192_rev.wav
Multiple vehicles passing by as an emergency vehicle siren wails in the distance,e1_wbMvQ9Ug.wav,Multiple siren passing by as an emergency vehicle vehicles wails in the distance,res_323-id.wav,196.wav,196_rev.wav
Siren wails then explosion sounds with loud humming in background,-njbxsKaclk.wav,Siren sounds then explosion wails with loud humming in background,res_324-id.wav,197.wav,197_rev.wav
A police car siren blasts and motorcycle engines rev,iAEJuk5NTOM.wav,A police car siren revs and motorcycle engines blast,res_325-id.wav,198.wav,198_rev.wav
"Adult whistling a tune, interrupted by a bird whistling",4Q8eYNz1uUg.wav,"Adult whistling a tune, interrupted by a bird whistling",res_327-id.wav,199.wav,199_rev.wav
A child sneezes and an adult laughs,sZ29AZCjWTE.wav,A child laughs and an adult sneezes,res_144-id.wav,200.wav,200_rev.wav
"A man is speaking, and a crowd applauds","A man applauds, and crowd is speaking","A man is applauding, and a crowd speaks",res_0-id.wav,1.wav,1_rev.wav
Some clapping followed by a man speaking then glass breaking and people laughing,Some speaking followed by a man clapping then glass breaking and people laughing,Some speaking followed by a man clapping then glass breaking and people laughing,res_3-id.wav,4.wav,4_rev.wav
"A baby is laughing while a young girl is speaking repeatedly, and an adult female chuckles softly","A baby is speaking while a young girl is laughing repeatedly, and an adult female chuckles softly","A baby is speaking while a young girl laughs repeatedly, and an adult female chuckles softly",res_24-id.wav,13.wav,13_rev.wav
A group of children talking as a woman laughs then speaks followed by a young boy talking,A group of children laughing as a woman talking then speaks followed by a young boy talking,A group of children laughing as a woman talks then speaks followed by a young boy talking,res_30-id.wav,16.wav,16_rev.wav
A man laughs and talks with another man sneezing,A man sneezing and talks with another man laughing,A man sneezes and talks with another man laughing,res_32-id.wav,18.wav,18_rev.wav
A woman speaking on a microphone as a kid yells in the distance with periodic audio static clicks,A woman yells on a microphone as a kid speaking in the distance with periodic audio static clicks,A woman yells on a microphone as a kid speaks in the distance with periodic audio static clicks,res_34-id.wav,20.wav,20_rev.wav
Burping and girls laughing with many voices in the background,Laughing and girls burping with many voices in the background,Laughing and girls burping with many voices in the background,res_43-id.wav,23.wav,23_rev.wav
"An adult female laugh while snoring is occurring, and an adult male speaks in the background","An adult female snoring while laugh is occurring, and an adult male speaks in the background","An adult female snores while laughing is occurring, and an adult male speaks in the background",res_48-id.wav,11.wav,26_rev.wav
"A child cries continually, while a motor vehicle engine runs quietly and several adult females and adult males speak","A child speaks continually, while a motor vehicle engine runs quietly and several adult females and adult males cries","A child speaks continually, while a motor vehicle engine runs quietly and several adult females and adult males cry",res_49-id.wav,27.wav,27_rev.wav
Crying and then sneezing followed by more crying and a female speech.,Sneezing and then crying followed by more sneezing and a female speech.,Sneezing and then crying followed by more sneezing and a female speech.,res_51-id.wav,29.wav,29_rev.wav
A burp followed by laughter and speech,A laughter followed by burp and speech,A laugh followed by burping and speech,res_52-id.wav,24.wav,30_rev.wav
A boar snorting as dogs growl and heavily breathe while footsteps shuffle on foliage and crickets chirp in the background,A boar growl as dogs snorting and heavily breathe while footsteps shuffle on foliage and crickets chirp in the background,A boar growling as dogs snort and heavily breathe while footsteps shuffle on foliage and crickets chirp in the background,res_55-id.wav,31.wav,31_rev.wav
Metallic clanging occurs as door slides,Metallic slides occurs as a door clanging,Metallic sliding occurs as door clangs,res_65-id.wav,35.wav,35_rev.wav
Plastic thumping as a man laughs and a kid talk in the distance as wind blows into a microphone and water is splashing,Plastic thumping as a man talks and a kid laughs in the distance as wind blows into a microphone and water is splashing,Plastic thumping as a man talks and a kid laughs in the distance as wind blows into a microphone and water is splashing,res_68-id.wav,37.wav,37_rev.wav
Plastic thumping as a man laughs followed by a kid speaking in the distance as water splashes and wind blows into a microphone,Plastic thumping as a man speaking followed by a kid laughs in the distance as water splashes and wind blows into a microphone,Plastic thumping as a man speaks followed by a kid laughing in the distance as water splashes and wind blows into a microphone,res_69-id.wav,37.wav,38_rev.wav
An emergency vehicle sounds siren followed by a vehicle engine idling,An emergency vehicle idling siren followed by a vehicle engine sounds,An emergency vehicle idles siren followed by a vehicle engine sounding,res_70-id.wav,39.wav,39_rev.wav
A woman talking then laughing followed by wood thumping as a young kid screams,A woman screams then laughing followed by wood thumping as a young kid talking,A woman screaming then laughing followed by wood thumping as a young kid talks,res_76-id.wav,41.wav,41_rev.wav
Some whooshing followed by a man speaking and clicking on a computer,Some clicking followed by a man speaking and whooshing on a computer.,Some clicking followed by a man speaking and whooshing on a computer.,res_79-id.wav,43.wav,43_rev.wav
A baby is crying and a person sneezes then another person speaks,A baby sneezes and a person crying then another person speaks,A baby is sneezing and a person cries then another person speaks,res_80-id.wav,29.wav,44_rev.wav
A maniacal laugh followed by a crying baby,A maniacal crying followed by a baby laugh,A maniacal cry followed by a laughing baby,res_84-id.wav,45.wav,45_rev.wav
"A crowd chants, an adult male speaks in the foreground, a member of the crowd shouts, and the adult male continues to speak","A crowd speaks, an adult male chants in the foreground, a member of the crowd shouts, and the adult male continues to chant","A crowd speaks, an adult male chants in the foreground, a member of the crowd shouts, and the adult male continues to chant",res_86-id.wav,47.wav,47_rev.wav
"Snoring is ongoing, while an adult female laughs and an adult male speaking","Speaking is ongoing, while an adult female laughs and an adult male snoring","Speaking is ongoing, while an adult female laughs and an adult male snores",res_88-id.wav,48.wav,48_rev.wav
A man talking followed by a woman talking while an electronic beep plays with a person claps before someone belches then a man and woman laugh,A man clapping followed by a woman talking while an electronic beep plays with a person talks before someone belches then a man and woman laugh,A man clapping followed by a woman talking while an electronic beep plays with a person talks before someone belches then a man and woman laugh,res_89-id.wav,49.wav,49_rev.wav
Children screams as a man laughing followed by someone whispering then a young boy talking,Children laughing as a man screams followed by someone whispering then a young boy talking,Children laughing as a man screams followed by someone whispering then a young boy talking,res_92-id.wav,40.wav,51_rev.wav
A rocket flying by followed by a loud explosion and fire crackling as a truck engine runs idle,A rocket explosion followed by a loud flying and fire crackling as a truck engine runs idle,A rocket explodes by followed by a loud flying and fire crackling as a truck engine runs idle,res_95-id.wav,52.wav,52_rev.wav
A man talking loudly followed by a baby crying and female voice laughing and talking,A man crying loudly followed by a baby talking and female voice laughing and crying,A man cries loudly followed by a baby talking and female voice laughing and crying,res_100-id.wav,55.wav,55_rev.wav
A man talking loudly followed by a baby crying and female voice laughing and talking,A man laughing loudly followed by a baby talking and female voice crying and talking,A man laughs loudly followed by a baby talking and female voice crying and talking,res_101-id.wav,55.wav,56_rev.wav
A telephone dialing tone beeping as a plastic switch flipping on and off,A telephone flipping as a plastic switch beeping on and off,A telephone flipping as a plastic switch beep on and off,res_104-id.wav,57.wav,57_rev.wav
A woman whispering then talking normally after an infant cries followed by a man shouting,A woman crying then talking normally after an infant whispering followed by a man shouting,A woman crying then talking normally after an infant whispers followed by a man shouting,res_106-id.wav,5.wav,58_rev.wav
A burp followed by laughter and speech,A speech followed by laughter and a burp,A speech followed by laughter and burping,res_107-id.wav,24.wav,59_rev.wav
"A Burp occurs, and several young adult females laugh and speak","A Laugh occurs, and several young adult females burp and speak","Laughing occurs, and several young adult females burp and speak",res_109-id.wav,24.wav,61_rev.wav
A man speaks with some distant hum and a child speaking,A man hum with some distant speak and a child speaking,A man humming with some distant speak and a child speaking,res_110-id.wav,34.wav,62_rev.wav
A man is speaking followed by a beep and burping sound,A man is beeping followed by a speak and burping sound,A man is beeping followed by a speak and burping sound,res_111-id.wav,63.wav,63_rev.wav
A man speaking over an intercom as a crowd of people applauding,A man applauding over an intercom as a crowd of people speaking,A man applauding over an intercom as a crowd of people speak,res_113-id.wav,65.wav,65_rev.wav
A baby cries quickly followed by heavy breathes and rattling,A baby breathes quickly followed by heavy cries and rattling,A baby breathes quickly followed by heavy crying and rattling,res_115-id.wav,67.wav,67_rev.wav
"A crowd applauds, an adult female speaking, the crowd laughs, claps and whistles, and then another adult female begins to speak","A crowd is speaking, an adult female applauds, the crowd laughs, whistles and claps, and then another adult female begins to applaud","A crowd is speaking, an adult female applauds, the crowd laughs, whistles and claps, and then another adult female begins to applaud",res_121-id.wav,69.wav,69_rev.wav
A woman speaking followed by a crowd applauding,A woman applauding followed by crowd speaking,A woman applauds followed by the speaking of a crowd,res_125-id.wav,70.wav,70_rev.wav
A person snoring during a series of thumps followed by a man talking in the background,A person talking during a series of thumps followed by a man snoring in the background.,A person talking during a series of thumps followed by a man snoring in the background.,res_130-id.wav,74.wav,74_rev.wav
A man yells before and after a person belching,A man belching before and after a person yells,A man belching before and after a person yells,res_131-id.wav,75.wav,75_rev.wav
A bell rings and several clocks do ticktock.,A bell ticktock and several clocks rings.,A bell ticktocks and several clocks do ring.,res_140-id.wav,80.wav,80_rev.wav
Squeaking followed by rustling and then another squeak,Rustling followed by squeaking and then another squeak,Rustling followed by squeaking and then another rustle,res_141-id.wav,81.wav,81_rev.wav
Repeated dings are followed by horn blasts and a person speaking,Repeated speaking are followed by horn blasts and a person dings,Repeated speaking are followed by horn blasts and a person dinging,res_149-id.wav,84.wav,84_rev.wav
Children cheer as a man speaks then an audience screams,Children speaks as a man cheer then an audience scream,Children speak as a man cheers then an audience screams,res_156-id.wav,87.wav,87_rev.wav
A bell rings and several clocks do ticktock.,A bell ticktock and several clocks rings.,A bell ticktocks and several clocks do ring.,res_158-id.wav,80.wav,89_rev.wav
Someone spits followed by a kid talking and a toilet being flushed,Someone talking followed by a kid spits and a toilet being flushed,Someone talks followed by a kid spits and a toilet being flushed,res_161-id.wav,91.wav,91_rev.wav
Loud whooshing of wind is followed by a swish,Loud swish of wind is followed by a whooshing,Loud swishing of wind is followed by a whoosh,res_162-id.wav,92.wav,92_rev.wav
A kid is talking and then farts and a woman says a phrase,A kid is farts and then talking and a woman says a phrase,A kid is farting and then talks and a woman says a phrase,res_168-id.wav,96.wav,96_rev.wav
A man speaks and followed by sound of a wrapper,A man wraps and followed by sound of speaking,A man wraps and followed by sound of speaking,res_172-id.wav,97.wav,97_rev.wav
A ball bounces and shoes squeak on hardwood and men can be heard mumbling,A ball squeak and shoes bounces on hardwood and men can be heard mumbling,A ball squeaks and shoes bounce on hardwood and men can be heard mumbling,res_178-id.wav,101.wav,101_rev.wav
"A fart noise, a child cries and the fart noise reoccurs",q-G_so9m2OM.wav,"A cry noise, a child farts and the cry noise reoccurs",res_184-id.wav,106.wav,106_rev.wav
Humming from a slow moving vehicle with people speaking,6uOzzr5WPPU.wav,Speaking from a slow moving vehicle with people humming,res_194-id.wav,109.wav,109_rev.wav
An appliance is vibrating then a loud buzz goes off,7iN2DPB7LPs.wav,An appliance is buzzing then a loud vibration goes off,res_195-id.wav,110.wav,110_rev.wav
"An adult female speaks, and few members of a crowd cheer in the background",2WYutdYfg8Y.wav,"An adult female cheers, and few members of a crowd speak in the background",res_197-id.wav,112.wav,112_rev.wav
A small child laughs then a man and the child converse back and forth,4aU1w7pqJGU.wav,A small child converses then a man and the child laugh back and forth,res_198-id.wav,113.wav,113_rev.wav
A baby sneezing followed by a mans laughter and then a women laughter,07IihPE8oK4.wav,A baby laughter followed by a mans sneezing and then a women laughter,res_202-id.wav,115.wav,115_rev.wav
People yell and then a man talks,5JVXGNMyDuc.wav,People talk and then a man yells,res_203-id.wav,116.wav,116_rev.wav
"A crowd of people are clapping, cheering, and whistling, and an adult male shouting",Fd_FcYXrzNY.wav,"A crowd of people are shouting, and an adult male is clapping, cheering and whistling",res_204-id.wav,117.wav,117_rev.wav
Someone burps many times followed by a speech,zc0JnzSO5Yo.wav,Someone speaks many times followed by a burp.,res_215-id.wav,119.wav,119_rev.wav
Loud ringing gunshots followed by vibrations and loud pops,w41od_SN7wY.wav,Loud popping gunshots followed by vibrations and loud rings,res_217-id.wav,120.wav,120_rev.wav
A man speaks over a car racing while people laugh followed by a squeal,FZPNaGSlPAE.wav,A man laughs over a car racing while people speak followed by a squeal,res_218-id.wav,121.wav,121_rev.wav
"Some loud cracking then an explosion, people speak",4mHPUd7nTsU.wav,"Some loud speaking then an explosion, people crack",res_219-id.wav,122.wav,122_rev.wav
People speak and someone sneezes,mYe4PyoRqE8.wav,People sneeze and someone speaks,res_221-id.wav,124.wav,124_rev.wav
Several children yell and speak and a woman speaks,Hx7L-Ca82mU.wav,Several children speak and yell and a woman yells,res_227-id.wav,126.wav,126_rev.wav
